date,p_Aggression_mean,p_Anxiety_mean,p_Disappointment_mean,p_Hope_mean,p_Neutral_mean,p_Uncertainty_mean,p_Aggression_wmean,p_Anxiety_wmean,p_Disappointment_wmean,p_Hope_wmean,p_Neutral_wmean,p_Uncertainty_wmean,emotion_entropy,msg_volume
2017-10-31,0.0132762,0.16025607,0.039842743,0.07154867,0.6324464,0.082629934,0.014224733736314254,0.17713868933473714,0.03859071154742742,0.0494812718023391,0.6193806604289371,0.10118396510393289,1.6788629,9
2017-11-01,0.012176362,0.32101315,0.04758094,0.016350904,0.3803095,0.22256911,0.008826465215542853,0.16020481537187906,0.02743991344965397,0.011670973933143697,0.3725597873510859,0.4192980357892009,1.9226497,6
2017-11-02,0.049593564,0.298271,0.023102803,0.12445465,0.31937817,0.18519983,0.07277088996622524,0.4218213693732659,0.016033385412765035,0.12844850625337448,0.16640056802248315,0.1945252689009131,2.211699,8
2017-11-03,0.00975286,0.05768485,0.0482003,0.058606453,0.6784356,0.14731994,0.011232747918351183,0.0890119857250589,0.04422683236359217,0.08028261002616553,0.61698913731771,0.15825669644736912,1.5400643,7
2017-11-04,0.04789404,0.44255492,0.016568936,0.016059618,0.4051673,0.07175522,0.04722447830112549,0.4351211972310865,0.016709087918242365,0.016052602932753395,0.41204039008698123,0.07285229326468841,1.7250022,2
2017-11-05,0.022523992,0.32931718,0.018859604,0.1570865,0.3377966,0.13441613,0.027299721663762957,0.3269532831118647,0.019514461646417687,0.2513213411106319,0.26146868825131714,0.11344253657222832,2.0965693,3
2017-11-06,0.012069141,0.2141004,0.030889919,0.037911545,0.5028647,0.20216425,0.010277363581533177,0.07941325946510526,0.03634675017426188,0.04317444429896792,0.608229816886615,0.22255836654632039,1.8519398,5
2017-11-07,0.01245134,0.21222922,0.04924044,0.014918826,0.6255973,0.085562825,0.009406001144182162,0.09079485264571673,0.04206167460587279,0.012808060159439217,0.7340823697034081,0.11084701595802544,1.5846236,9
2017-11-08,0.013684849,0.2301775,0.07149141,0.12806629,0.5152496,0.041330308,0.01616618988186351,0.33325957427532404,0.0398443035101408,0.1535146435265565,0.4041187083245998,0.0530965975037645,1.9072363,9
2017-11-09,0.011845809,0.20638013,0.03305539,0.12562463,0.490542,0.13255203,0.011980306940153911,0.23382615252283742,0.030900686983797818,0.19667732220056225,0.4519455313833014,0.0746699937381318,1.9747213,9
2017-11-10,0.019878218,0.28867072,0.032197513,0.016441107,0.3518215,0.29099095,0.019704164250618352,0.24268813913526102,0.03897241254298582,0.017624917828431765,0.42711249348618874,0.2538978617715607,1.9353136,9
2017-11-11,0.0138798,0.22205901,0.0376319,0.09029832,0.56238586,0.07374511,0.015962024334842183,0.2608483875041855,0.03976004526259958,0.11880621620352616,0.4942489308137745,0.07037437688583488,1.8034317,5
2017-11-12,0.013504215,0.20814228,0.013737339,0.14221229,0.31142476,0.31097916,0.014182038932540776,0.21954689493525548,0.013972573617351143,0.15935998098560225,0.3065928426127337,0.28634570662979697,2.088496,6
2017-11-13,0.012063059,0.13854457,0.064333156,0.14594276,0.48685876,0.15225768,0.00841769927745659,0.057407647733701696,0.09515574464709536,0.06726165078647055,0.6093543691294727,0.16240289798039964,2.0508237,11
2017-11-14,0.016678795,0.2159248,0.044638284,0.042966902,0.606789,0.07300222,0.020176243204764552,0.2948664790845453,0.049304362710033564,0.022740267905343236,0.5471105594273739,0.06580208387376116,1.6843066,9
2017-11-15,0.017702756,0.3363376,0.09924724,0.015459738,0.46190175,0.06935092,0.017947744454783667,0.3572299404248782,0.11093259829529381,0.015434340125129913,0.4102632802077084,0.08819209256005349,1.8372399,12
2017-11-16,0.020603055,0.27938294,0.05550828,0.018793266,0.5266199,0.09909258,0.029891191526379268,0.36693785616766683,0.05667152327450563,0.022871539506517605,0.3918560447442113,0.13177185158520627,1.7863538,10
2017-11-17,0.034288812,0.36160687,0.027596073,0.10075914,0.33387512,0.141874,0.024665883379085686,0.2116650770303263,0.033546667168378876,0.14671667145864284,0.42519859784029085,0.15820710591949205,2.1021614,11
2017-11-18,0.013698935,0.24409768,0.04016461,0.37829024,0.29151383,0.032234687,0.013985146505256492,0.3008943202880852,0.04924043982428294,0.2351690350478808,0.3650541395202025,0.03565690878593352,1.9763591,4
2017-11-19,0.02203786,0.60938764,0.020470193,0.014293859,0.21828243,0.11552806,0.023673560812157695,0.6360579952690085,0.024518758201196394,0.014591898948348846,0.2393553775424671,0.061802420160339044,1.598194,5
2017-11-20,0.037031688,0.2118318,0.0625567,0.09868627,0.5343803,0.055513263,0.020506381617558692,0.1610242432294454,0.06838614236182596,0.15398015814176544,0.5609072056135346,0.035195876629332476,1.9448986,13
2017-11-21,0.10069463,0.353153,0.03064219,0.016764993,0.45377567,0.044969544,0.14955698372648069,0.4669198467825404,0.0247359038342631,0.019386482767596927,0.29628455186504865,0.04311625568603797,1.8352829,11
2017-11-22,0.0140149295,0.31068245,0.15639286,0.04768471,0.38736022,0.083864845,0.015946916348666473,0.3531117415310967,0.17682780639448437,0.03783032535960547,0.36326049107655967,0.053022709237868816,2.0681167,12
2017-11-23,0.08726399,0.25925428,0.028800722,0.086787544,0.39111227,0.14678119,0.1058698148575097,0.33600950893089543,0.02585448444077034,0.10511355202635356,0.3146077946690154,0.11254485291870876,2.2014184,8
